================================================
  NLOC    CCN   token  PARAM  length  location
     32       9.0     6.0       88.0         2     .\src\codes\result1582136858988.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582159323505.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582160189584.py
     35      15.0     5.0      153.0         1     .\src\codes\result1582161115812.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582162429367.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582163026004.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582165740903.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582165797672.py
     10       5.0     2.0       21.0         1     .\src\codes\result1582167149026.py
     19       6.0     3.0       37.0         1     .\src\codes\result1582167424933.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582168057843.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582168074677.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582168109842.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582168124379.py
     25       8.0     3.0       55.7         3     .\src\codes\result1582169702350.py
     16       0.0     0.0        0.0         0     .\src\codes\result1582170143633.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582170168936.py
     14      11.0     5.0       74.0         1     .\src\codes\result1582170480875.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582171409190.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582172035689.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582173010644.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582174822464.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582175135396.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582175684487.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582176271362.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582177100654.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582177155752.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582177722072.py
     24       0.0     0.0        0.0         0     .\src\codes\result1582178499873.py
      2       0.0     0.0        0.0         0     .\src\codes\result1582178905351.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582180610325.py
     17       0.0     0.0        0.0         0     .\src\codes\result1582180919645.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582181555442.py
     17       0.0     0.0        0.0         0     .\src\codes\result1582181658234.py
     16       0.0     0.0        0.0         0     .\src\codes\result1582181827060.py
